sample	samples	DFNA5	_sample_type	_study	_primary_site
TCGA-BH-A0DK-01	TCGA-BH-A0DK-01	7.68	Primary Tumor	TCGA	Breast
TCGA-AR-A1AT-01	TCGA-AR-A1AT-01	7.679	Primary Tumor	TCGA	Breast
TCGA-BH-A18V-06	TCGA-BH-A18V-06	7.676	Metastatic	TCGA	Breast
TCGA-A2-A259-01	TCGA-A2-A259-01	7.676	Primary Tumor	TCGA	Breast
TCGA-C8-A12V-01	TCGA-C8-A12V-01	7.674	Primary Tumor	TCGA	Breast
TCGA-AC-A8OP-01	TCGA-AC-A8OP-01	7.673	Primary Tumor	TCGA	Breast
TCGA-A2-A1FV-01	TCGA-A2-A1FV-01	7.672	Primary Tumor	TCGA	Breast
TCGA-BH-A0W3-01	TCGA-BH-A0W3-01	7.671	Primary Tumor	TCGA	Breast
TCGA-E9-A1N9-01	TCGA-E9-A1N9-01	7.669	Primary Tumor	TCGA	Breast
TCGA-A2-A04N-01	TCGA-A2-A04N-01	7.667	Primary Tumor	TCGA	Breast
TCGA-E9-A22D-01	TCGA-E9-A22D-01	7.664	Primary Tumor	TCGA	Breast
TCGA-D8-A1XJ-01	TCGA-D8-A1XJ-01	7.659	Primary Tumor	TCGA	Breast
TCGA-JL-A3YX-01	TCGA-JL-A3YX-01	7.658	Primary Tumor	TCGA	Breast
TCGA-GM-A5PX-01	TCGA-GM-A5PX-01	7.656	Primary Tumor	TCGA	Breast
