sample	samples	DFNA5	_sample_type	_study	_primary_site
TCGA-BH-A0EI-01	TCGA-BH-A0EI-01	8.057	Primary Tumor	TCGA	Breast
TCGA-BH-A0HI-01	TCGA-BH-A0HI-01	8.057	Primary Tumor	TCGA	Breast
TCGA-BH-A18J-01	TCGA-BH-A18J-01	8.056	Primary Tumor	TCGA	Breast
TCGA-AO-A12A-01	TCGA-AO-A12A-01	8.054	Primary Tumor	TCGA	Breast
TCGA-A2-A0EY-01	TCGA-A2-A0EY-01	8.052	Primary Tumor	TCGA	Breast
TCGA-AQ-A54N-01	TCGA-AQ-A54N-01	8.051	Primary Tumor	TCGA	Breast
GTEX-ZYFC-0826-SM-5E44K	GTEX-ZYFC-0826-SM-5E44K	8.049	Normal Tissue	GTEX	Breast
TCGA-E9-A1RG-01	TCGA-E9-A1RG-01	8.049	Primary Tumor	TCGA	Breast
TCGA-AR-A1AS-01	TCGA-AR-A1AS-01	8.048	Primary Tumor	TCGA	Breast
TCGA-AO-A1KS-01	TCGA-AO-A1KS-01	8.047	Primary Tumor	TCGA	Breast
TCGA-AO-A0JE-01	TCGA-AO-A0JE-01	8.046	Primary Tumor	TCGA	Breast
TCGA-EW-A1OZ-01	TCGA-EW-A1OZ-01	8.044	Primary Tumor	TCGA	Breast
TCGA-LL-A7SZ-01	TCGA-LL-A7SZ-01	8.044	Primary Tumor	TCGA	Breast
GTEX-X261-0626-SM-3NMD9	GTEX-X261-0626-SM-3NMD9	8.043	Normal Tissue	GTEX	Breast
TCGA-D8-A145-01	TCGA-D8-A145-01	8.042	Primary Tumor	TCGA	Breast
TCGA-GM-A3XG-01	TCGA-GM-A3XG-01	8.04	Primary Tumor	TCGA	Breast
TCGA-BH-A0WA-01	TCGA-BH-A0WA-01	8.036	Primary Tumor	TCGA	Breast
TCGA-BH-A0RX-01	TCGA-BH-A0RX-01	8.034	Primary Tumor	TCGA	Breast
GTEX-QEL4-2126-SM-447AE	GTEX-QEL4-2126-SM-447AE	8.032	Normal Tissue	GTEX	Breast
TCGA-BH-A0W5-01	TCGA-BH-A0W5-01	8.031	Primary Tumor	TCGA	Breast
TCGA-A7-A56D-01	TCGA-A7-A56D-01	8.03	Primary Tumor	TCGA	Breast
TCGA-EW-A6SC-01	TCGA-EW-A6SC-01	8.025	Primary Tumor	TCGA	Breast
TCGA-E2-A1L6-01	TCGA-E2-A1L6-01	8.022	Primary Tumor	TCGA	Breast
TCGA-S3-A6ZF-01	TCGA-S3-A6ZF-01	8.021	Primary Tumor	TCGA	Breast
TCGA-B6-A0RP-01	TCGA-B6-A0RP-01	8.02	Primary Tumor	TCGA	Breast
TCGA-LD-A7W5-01	TCGA-LD-A7W5-01	8.02	Primary Tumor	TCGA	Breast
TCGA-D8-A27K-01	TCGA-D8-A27K-01	8.017	Primary Tumor	TCGA	Breast
TCGA-AR-A1AU-01	TCGA-AR-A1AU-01	8.016	Primary Tumor	TCGA	Breast
TCGA-C8-A1HN-01	TCGA-C8-A1HN-01	8.015	Primary Tumor	TCGA	Breast
TCGA-A1-A0SK-01	TCGA-A1-A0SK-01	8.013	Primary Tumor	TCGA	Breast
TCGA-A2-A1G0-01	TCGA-A2-A1G0-01	8.013	Primary Tumor	TCGA	Breast
TCGA-B6-A0I6-01	TCGA-B6-A0I6-01	8.01	Primary Tumor	TCGA	Breast
TCGA-AN-A0AM-01	TCGA-AN-A0AM-01	8.009	Primary Tumor	TCGA	Breast
TCGA-BH-A0HX-01	TCGA-BH-A0HX-01	8.006	Primary Tumor	TCGA	Breast
TCGA-BH-A18N-01	TCGA-BH-A18N-01	8.005	Primary Tumor	TCGA	Breast
TCGA-4H-AAAK-01	TCGA-4H-AAAK-01	8.003	Primary Tumor	TCGA	Breast
TCGA-BH-A18U-01	TCGA-BH-A18U-01	8.002	Primary Tumor	TCGA	Breast
TCGA-A8-A079-01	TCGA-A8-A079-01	7.998	Primary Tumor	TCGA	Breast
TCGA-E9-A1R2-01	TCGA-E9-A1R2-01	7.998	Primary Tumor	TCGA	Breast
TCGA-A8-A08T-01	TCGA-A8-A08T-01	7.997	Primary Tumor	TCGA	Breast
TCGA-E9-A1RC-01	TCGA-E9-A1RC-01	7.994	Primary Tumor	TCGA	Breast
TCGA-A8-A07L-01	TCGA-A8-A07L-01	7.993	Primary Tumor	TCGA	Breast
TCGA-A2-A0SU-01	TCGA-A2-A0SU-01	7.99	Primary Tumor	TCGA	Breast
TCGA-BH-A0B3-01	TCGA-BH-A0B3-01	7.99	Primary Tumor	TCGA	Breast
TCGA-OL-A5RX-01	TCGA-OL-A5RX-01	7.99	Primary Tumor	TCGA	Breast
TCGA-A2-A04W-01	TCGA-A2-A04W-01	7.989	Primary Tumor	TCGA	Breast
TCGA-BH-A0B1-01	TCGA-BH-A0B1-01	7.987	Primary Tumor	TCGA	Breast
GTEX-144GM-0926-SM-5O994	GTEX-144GM-0926-SM-5O994	7.985	Normal Tissue	GTEX	Breast
TCGA-OL-A66K-01	TCGA-OL-A66K-01	7.985	Primary Tumor	TCGA	Breast
TCGA-AO-A0JG-01	TCGA-AO-A0JG-01	7.98	Primary Tumor	TCGA	Breast
TCGA-AN-A0FF-01	TCGA-AN-A0FF-01	7.975	Primary Tumor	TCGA	Breast
TCGA-B6-A1KI-01	TCGA-B6-A1KI-01	7.974	Primary Tumor	TCGA	Breast
TCGA-D8-A27H-01	TCGA-D8-A27H-01	7.971	Primary Tumor	TCGA	Breast
TCGA-AC-A23H-01	TCGA-AC-A23H-01	7.968	Primary Tumor	TCGA	Breast
TCGA-B6-A0WS-01	TCGA-B6-A0WS-01	7.967	Primary Tumor	TCGA	Breast
TCGA-D8-A1XD-01	TCGA-D8-A1XD-01	7.964	Primary Tumor	TCGA	Breast
TCGA-A2-A0YI-01	TCGA-A2-A0YI-01	7.962	Primary Tumor	TCGA	Breast
GTEX-13PVQ-1026-SM-5KM3M	GTEX-13PVQ-1026-SM-5KM3M	7.961	Normal Tissue	GTEX	Breast
TCGA-BH-A0GY-01	TCGA-BH-A0GY-01	7.953	Primary Tumor	TCGA	Breast
TCGA-BH-A0HQ-01	TCGA-BH-A0HQ-01	7.953	Primary Tumor	TCGA	Breast
