sample	DFNA5 (average)
TCGA-29-1693-01A	0.573
TCGA-59-2352-01A	-0.5299
TCGA-24-1552-01A	0.17890000000000003
TCGA-24-1423-01A	0.0736
TCGA-61-1910-01A	0.6045
TCGA-30-1718-01A	-0.9224
TCGA-13-0804-01A	0.1857
TCGA-24-1467-01A	0.0685
TCGA-25-2399-01A	-0.5477
TCGA-24-1469-01A	0.1092
TCGA-29-1766-01A	-0.3481
TCGA-30-1862-01A	-0.1867
TCGA-57-1586-01A	-0.2823
TCGA-61-1907-01A	0.5254
TCGA-59-2355-01A	0.1468
TCGA-25-2396-01A	-0.5519000000000001
TCGA-24-2035-01A	0.0505
TCGA-13-A5FT-01A	0.1487
TCGA-13-1511-01A	0.0232
TCGA-23-2084-01A	-0.4994
TCGA-24-1431-01A	0.5063
TCGA-20-1682-01A	0.3606
TCGA-29-A5NZ-01A	0.1897
TCGA-13-2060-01A	-0.1413
TCGA-13-0724-01A	-0.3037
TCGA-24-2298-01A	-0.8983
TCGA-24-1845-01A	0.1836
TCGA-24-2262-01A	-0.6134
TCGA-13-0714-01A	-0.6613
TCGA-24-1417-01A	-0.9404
TCGA-20-1687-01A	0.2124
TCGA-24-1413-01A	0.3185
TCGA-13-0800-01A	-0.1767
TCGA-23-1027-01A	-0.6063
TCGA-29-1710-01A	0.2519
TCGA-61-1914-01A	-0.4901
TCGA-04-1347-01A	-0.3925
TCGA-13-1512-01A	0.2171
TCGA-61-2000-01A	0.0211
TCGA-29-1769-01A	-0.229
TCGA-09-0367-01A	0.7388
TCGA-29-1785-01A	0.0853
TCGA-29-1778-01A	0.3852
TCGA-23-1110-01A	-0.535
TCGA-04-1341-01A	-0.3163
TCGA-13-0893-01B	-0.2304
TCGA-13-0884-01B	-0.2481
TCGA-13-0891-01A	-0.7
TCGA-10-0931-01A	-0.7207
TCGA-23-1021-01B	0.398
TCGA-04-1356-01A	-0.5206
TCGA-61-2109-01A	-0.7396
TCGA-20-1686-01A	0.3597
TCGA-13-0885-01A	0.0925
TCGA-13-1403-01A	-0.941
TCGA-23-1029-01B	0.0794
TCGA-13-1496-01A	0.2475
TCGA-29-1696-01A	0.1316
TCGA-13-1477-01A	-0.0092
TCGA-13-1505-01A	-0.2043
TCGA-23-1113-01A	0.3239
TCGA-13-1487-01A	-0.3007
TCGA-29-1701-01A	-0.5492
TCGA-29-1776-01A	-0.7335
TCGA-09-2045-01A	-0.8522
TCGA-13-1501-01A	0.1179
TCGA-13-1409-01A	0.0817
TCGA-61-1728-01A	-0.1264
TCGA-10-0928-01A	-0.6392
TCGA-24-1416-01A	0.1639
TCGA-24-1616-01A	-0.1215
TCGA-23-1123-01A	0.1208
TCGA-24-1104-01A	-0.54
TCGA-13-0920-01A	-0.1011
TCGA-23-2078-01A	-0.2354
TCGA-13-0726-01A	0.0613
TCGA-24-1430-01A	-0.6824
TCGA-09-0364-01A	0.0376
TCGA-13-0887-01A	-0.0046
TCGA-13-1497-01A	-0.3707
TCGA-13-0897-01A	-0.7241
TCGA-10-0933-01A	-0.3317
TCGA-04-1542-01A	0.3853
TCGA-61-2088-01A	0.3461
TCGA-WR-A838-01A	-0.4001
TCGA-13-0924-01A	0.1398
TCGA-23-1022-01A	0.4471
TCGA-13-0797-01A	0.1357
TCGA-25-1321-01A	-0.4362
TCGA-61-2101-01A	0.5448
TCGA-13-1488-01A	-0.2123
TCGA-10-0937-01A	-0.7286
TCGA-04-1651-01A	-0.5979
TCGA-61-2092-01A	0.0288
TCGA-24-1103-01A	-0.689
TCGA-24-1419-01A	0.1408
TCGA-13-1492-01A	0.168
