sample	samples	DFNA5 (average)
TCGA-06-0128-01	TCGA-06-0128-01	0.1429
TCGA-06-0189-01	TCGA-06-0189-01	0.1383
TCGA-32-4719-01	TCGA-32-4719-01	0.1373
TCGA-19-2625-01	TCGA-19-2625-01	0.1352
1e6ab7a1-592b-416a-bffe-0d62b2203c34	1e6ab7a1-592b-416a-bffe-0d62b2203c34	0.1344
TCGA-06-5410-01	TCGA-06-5410-01	0.13
TCGA-14-0812-01	TCGA-14-0812-01	0.1298
TCGA-06-6693-01	TCGA-06-6693-01	0.129
TCGA-08-0246-01	TCGA-08-0246-01	0.1269
TCGA-02-0039-01	TCGA-02-0039-01	0.1268
TCGA-28-5215-01	TCGA-28-5215-01	0.1228
TCGA-06-A5U0-01	TCGA-06-A5U0-01	0.1213
TCGA-06-2557-01	TCGA-06-2557-01	0.1206
TCGA-02-0339-01	TCGA-02-0339-01	0.11570000000000001
TCGA-32-4208-01	TCGA-32-4208-01	0.114
TCGA-32-1980-01	TCGA-32-1980-01	0.1109
TCGA-02-0024-01	TCGA-02-0024-01	0.1101
TCGA-12-0615-01	TCGA-12-0615-01	0.11
TCGA-19-2621-01	TCGA-19-2621-01	0.1091
TCGA-06-6389-01	TCGA-06-6389-01	0.1088
TCGA-06-5416-01	TCGA-06-5416-01	0.1086
TCGA-06-0219-01	TCGA-06-0219-01	0.1083
TCGA-02-0014-01	TCGA-02-0014-01	0.1024
TCGA-02-0432-01	TCGA-02-0432-01	0.0987
TCGA-14-1821-01	TCGA-14-1821-01	0.0984
TCGA-02-0048-01	TCGA-02-0048-01	0.0983
TCGA-19-5956-01	TCGA-19-5956-01	0.0979
TCGA-02-2483-01	TCGA-02-2483-01	0.0941
TCGA-02-0084-01	TCGA-02-0084-01	0.0898
TCGA-08-0512-01	TCGA-08-0512-01	0.0896
TCGA-12-5295-01	TCGA-12-5295-01	0.0878
TCGA-06-2566-01	TCGA-06-2566-01	0.0848
TCGA-06-0881-01	TCGA-06-0881-01	0.0838
TCGA-16-1060-01	TCGA-16-1060-01	0.0832
TCGA-28-2501-01	TCGA-28-2501-01	0.0825
TCGA-08-0344-01	TCGA-08-0344-01	0.0808
TCGA-19-0964-01	TCGA-19-0964-01	0.0802
TCGA-02-0083-01	TCGA-02-0083-01	0.0774
TCGA-06-0158-01	TCGA-06-0158-01	0.0758
TCGA-06-0129-01	TCGA-06-0129-01	0.0752
TCGA-28-1756-01	TCGA-28-1756-01	0.0738
TCGA-32-4213-01	TCGA-32-4213-01	0.0735
TCGA-08-0521-01	TCGA-08-0521-01	0.0709
TCGA-26-5134-01	TCGA-26-5134-01	0.069
TCGA-02-0003-01	TCGA-02-0003-01	0.0678
TCGA-06-0127-01	TCGA-06-0127-01	0.0675
TCGA-02-0114-01	TCGA-02-0114-01	0.0662
TCGA-06-0142-01	TCGA-06-0142-01	0.0644
TCGA-27-2521-01	TCGA-27-2521-01	0.0638
TCGA-06-0221-02	TCGA-06-0221-02	0.0636
TCGA-76-6193-01	TCGA-76-6193-01	0.0634
TCGA-02-0258-01	TCGA-02-0258-01	0.0619
TCGA-12-5301-01	TCGA-12-5301-01	0.0618
TCGA-06-A6S0-01	TCGA-06-A6S0-01	0.0615
TCGA-06-A7TL-01	TCGA-06-A7TL-01	0.0611
TCGA-12-1089-01	TCGA-12-1089-01	0.0592
TCGA-27-1836-01	TCGA-27-1836-01	0.05910000000000001
TCGA-02-0422-01	TCGA-02-0422-01	0.0582
TCGA-06-0139-01	TCGA-06-0139-01	0.0572
TCGA-28-1747-01	TCGA-28-1747-01	0.057
TCGA-02-0068-01	TCGA-02-0068-01	0.054
TCGA-06-0187-01	TCGA-06-0187-01	0.0535
TCGA-27-1837-01	TCGA-27-1837-01	0.0517
TCGA-26-1442-01	TCGA-26-1442-01	0.0508
TCGA-06-2565-01	TCGA-06-2565-01	0.0503
TCGA-12-0616-01	TCGA-12-0616-01	0.0487
TCGA-06-0208-01	TCGA-06-0208-01	0.047
TCGA-02-0058-01	TCGA-02-0058-01	0.0469
TCGA-16-0849-01	TCGA-16-0849-01	0.04519999999999999
TCGA-06-0240-01	TCGA-06-0240-01	0.0443
TCGA-19-1789-01	TCGA-19-1789-01	0.0438
TCGA-02-0321-01	TCGA-02-0321-01	0.0432
TCGA-14-1402-02	TCGA-14-1402-02	0.0423
TCGA-14-1402-01	TCGA-14-1402-01	0.0414
TCGA-02-0060-01	TCGA-02-0060-01	0.0405
TCGA-06-0154-01	TCGA-06-0154-01	0.0397
TCGA-19-2620-01	TCGA-19-2620-01	0.0389
TCGA-12-3649-01	TCGA-12-3649-01	0.037
TCGA-27-2528-01	TCGA-27-2528-01	0.0369
TCGA-19-5951-01	TCGA-19-5951-01	0.0362
TCGA-41-4097-01	TCGA-41-4097-01	0.0325
TCGA-06-1805-01	TCGA-06-1805-01	0.0311
TCGA-06-2570-01	TCGA-06-2570-01	0.0293
TCGA-14-0817-01	TCGA-14-0817-01	0.027
TCGA-02-0338-01	TCGA-02-0338-01	0.0254
TCGA-32-1991-01	TCGA-32-1991-01	0.0237
TCGA-15-1446-01	TCGA-15-1446-01	0.0201
TCGA-06-0160-01	TCGA-06-0160-01	0.0195
TCGA-02-0047-01	TCGA-02-0047-01	0.0175
TCGA-06-6701-01	TCGA-06-6701-01	0.0175
TCGA-08-0351-01	TCGA-08-0351-01	0.0165
TCGA-02-0104-01	TCGA-02-0104-01	0.0157
TCGA-06-0146-01	TCGA-06-0146-01	0.0148
TCGA-02-0028-01	TCGA-02-0028-01	0.0122
TCGA-76-6656-01	TCGA-76-6656-01	0.0114
TCGA-06-0165-01	TCGA-06-0165-01	0.0109
TCGA-06-0178-01	TCGA-06-0178-01	0.0101
TCGA-08-0514-01	TCGA-08-0514-01	0.0092
TCGA-06-6700-01	TCGA-06-6700-01	0.007299999999999999
TCGA-06-0747-01	TCGA-06-0747-01	0.0065
8fbe00a1-0cab-4197-a9cf-b3530cd07d1c	8fbe00a1-0cab-4197-a9cf-b3530cd07d1c	0.0044
TCGA-02-0026-01	TCGA-02-0026-01	0.004
TCGA-02-0080-01	TCGA-02-0080-01	-0.0046
TCGA-14-1456-01	TCGA-14-1456-01	-0.0152
TCGA-16-1460-01	TCGA-16-1460-01	-0.016
TCGA-06-2569-01	TCGA-06-2569-01	-0.0254
TCGA-15-1444-01	TCGA-15-1444-01	-0.0337
TCGA-02-0069-01	TCGA-02-0069-01	-0.0358
TCGA-32-2495-01	TCGA-32-2495-01	-0.0364
TCGA-08-0524-01	TCGA-08-0524-01	-0.043399999999999994
TCGA-12-0818-01	TCGA-12-0818-01	-0.0438
TCGA-06-1087-01	TCGA-06-1087-01	-0.0459
TCGA-28-5216-01	TCGA-28-5216-01	-0.0482
TCGA-08-0350-01	TCGA-08-0350-01	-0.0563
TCGA-06-0221-01	TCGA-06-0221-01	-0.0875
TCGA-14-3477-01	TCGA-14-3477-01	-0.1051
TCGA-06-0410-01	TCGA-06-0410-01	-0.1798
TCGA-14-0736-02	TCGA-14-0736-02	-0.2964
TCGA-08-0516-01	TCGA-08-0516-01	-0.335
TCGA-14-0736-01	TCGA-14-0736-01	-0.4577
TCGA-19-0960-01	TCGA-19-0960-01	-0.8529
