sample	samples	DFNA5 (average)
TCGA-08-0520-01	TCGA-08-0520-01	0.5797
TCGA-41-2572-01	TCGA-41-2572-01	0.5776
TCGA-02-0086-01	TCGA-02-0086-01	0.5761
TCGA-06-2558-01	TCGA-06-2558-01	0.576
TCGA-28-1755-01	TCGA-28-1755-01	0.5757
TCGA-14-0790-01	TCGA-14-0790-01	0.575
TCGA-06-0744-01	TCGA-06-0744-01	0.573
TCGA-06-0195-01	TCGA-06-0195-01	0.5724
TCGA-12-3651-01	TCGA-12-3651-01	0.5719000000000001
TCGA-76-6662-01	TCGA-76-6662-01	0.5706000000000001
TCGA-02-0054-01	TCGA-02-0054-01	0.5696
TCGA-02-0106-01	TCGA-02-0106-01	0.5691
TCGA-19-1388-01	TCGA-19-1388-01	0.5688
TCGA-19-0957-01	TCGA-19-0957-01	0.5684
TCGA-76-6191-01	TCGA-76-6191-01	0.5684
TCGA-06-0409-01	TCGA-06-0409-01	0.568
TCGA-19-1791-01	TCGA-19-1791-01	0.5666
TCGA-06-2559-01	TCGA-06-2559-01	0.5643999999999999
TCGA-06-0177-01	TCGA-06-0177-01	0.5639
TCGA-06-0648-01	TCGA-06-0648-01	0.5637
TCGA-19-A6J5-01	TCGA-19-A6J5-01	0.5628
TCGA-26-1799-01	TCGA-26-1799-01	0.5625
TCGA-12-0821-01	TCGA-12-0821-01	0.5623
TCGA-06-0197-01	TCGA-06-0197-01	0.5606000000000001
TCGA-14-0786-01	TCGA-14-0786-01	0.5606000000000001
TCGA-81-5910-01	TCGA-81-5910-01	0.559
TCGA-06-1800-01	TCGA-06-1800-01	0.5588
TCGA-02-0430-01	TCGA-02-0430-01	0.5578
TCGA-06-0646-01	TCGA-06-0646-01	0.5575
TCGA-06-5408-01	TCGA-06-5408-01	0.557
TCGA-02-0043-01	TCGA-02-0043-01	0.556
TCGA-02-0009-01	TCGA-02-0009-01	0.5549
TCGA-08-0245-01	TCGA-08-0245-01	0.5543
TCGA-06-6391-01	TCGA-06-6391-01	0.5542
TCGA-06-0137-01	TCGA-06-0137-01	0.5533
TCGA-06-1806-01	TCGA-06-1806-01	0.5478
TCGA-14-0787-01	TCGA-14-0787-01	0.5476
TCGA-87-5896-01	TCGA-87-5896-01	0.5431
TCGA-06-0125-01	TCGA-06-0125-01	0.54245
TCGA-12-1098-01	TCGA-12-1098-01	0.5422
TCGA-02-0260-01	TCGA-02-0260-01	0.5415
TCGA-02-0021-01	TCGA-02-0021-01	0.5401
TCGA-02-0075-01	TCGA-02-0075-01	0.5394
TCGA-76-4925-01	TCGA-76-4925-01	0.5383
TCGA-26-5132-01	TCGA-26-5132-01	0.5379
TCGA-14-1395-01	TCGA-14-1395-01	0.5372
TCGA-06-6699-01	TCGA-06-6699-01	0.5363
TCGA-12-0780-01	TCGA-12-0780-01	0.5362
TCGA-27-1834-01	TCGA-27-1834-01	0.5351
TCGA-4W-AA9S-01	TCGA-4W-AA9S-01	0.535
TCGA-02-0099-01	TCGA-02-0099-01	0.5336
TCGA-08-0518-01	TCGA-08-0518-01	0.5336
TCGA-06-0148-01	TCGA-06-0148-01	0.5335
TCGA-06-6698-01	TCGA-06-6698-01	0.5333
TCGA-19-1386-01	TCGA-19-1386-01	0.5331
TCGA-41-5651-01	TCGA-41-5651-01	0.5331
TCGA-14-1459-01	TCGA-14-1459-01	0.5329
