Scyl3	395
BC055324	626
Mettl18	96
Sele	0
Sell	0
Selp	1
Gm16548	0
F5	0
Slc19a2	883
Ccdc181	174
Blzf1	509
Nme7	374
Atp1b1	0
Gm26685	0
Dpt	11
Gm20743	0
Xcl1	0
4930568G15Rik	0
Tbx19	0
Sft2d2	273
Tiprl	1203
Gpr161	723
Dcaf6	265
Mpc2	399
Adcy10	0
Mpzl1	774
Rcsd1	2
Creg1	644
Cd247	0
Pou2f1	441
Dusp27	0
Gpa33	0
Mael	0
Ildr2	0
Tada1	643
Pogk	2
Gm33354	0
Gm4846	0
Gm4847	0
Fmo9	0
Gm16701	1
Fam78b	1
Uck2	2503
Mir6347	0
Tmco1	708
Aldh9a1	685
Mgst3	36
Lrrc52	0
Rxrg	0
Lmx1a	0
Pbx1	2066
Mir6348	0
Mir6354	0
Nuf2	1069
Rgs5	0
Rgs4	0
Ccdc190	0
Hsd17b7	317
3110045C21Rik	7
Ddr2	7254
Uap1	1016
Uhmk1	3168
Sh2d1b2	0
Gm6345	1
Sh2d1b1	1
Gm7694	0
Spata46	0
Nos1ap	0
Olfml2b	26
Atf6	1325
Dusp12	275
Fcrlb	0
Fcrla	0
Fcgr2b	0
Fcgr4	0
Fcgr3	3
Mir6546	0
Cfap126	3
Sdhc	2196
Mpz	4
Pcp4l1	0
Nr1i3	4
Tomm40l	669
Apoa2	25
Fcer1g	0
Ndufs2	3573
Adamts4	217
B4galt3	486
Ppox	182
Usp21	422
Ufc1	1104
Dedd	529
Nit1	204
Pfdn2	1583
Klhdc9	0
Nectin4	0
Arhgap30	4
Usf1	487
Tstd1	3
Gm26641	0
F11r	0
Alyref2	29
Itln1	0
Cd244a	0
Ly9	3
