sample	samples	DFNA5	_sample_type	_study	_primary_site
GTEX-WEY5-0626-SM-4LMIA	GTEX-WEY5-0626-SM-4LMIA	10.07	Normal Tissue	GTEX	Ovary
GTEX-YFC4-2726-SM-5IFJW	GTEX-YFC4-2726-SM-5IFJW	10.06	Normal Tissue	GTEX	Ovary
GTEX-YJ8O-1026-SM-5CVM5	GTEX-YJ8O-1026-SM-5CVM5	10.05	Normal Tissue	GTEX	Ovary
GTEX-13N11-0526-SM-5IJFI	GTEX-13N11-0526-SM-5IJFI	10.04	Normal Tissue	GTEX	Ovary
GTEX-13VXT-1526-SM-5LU3J	GTEX-13VXT-1526-SM-5LU3J	10.04	Normal Tissue	GTEX	Ovary
GTEX-TSE9-2226-SM-4DXUR	GTEX-TSE9-2226-SM-4DXUR	9.977	Normal Tissue	GTEX	Ovary
GTEX-13OVI-0726-SM-5L3DD	GTEX-13OVI-0726-SM-5L3DD	9.969	Normal Tissue	GTEX	Ovary
GTEX-1269C-1826-SM-5N9E1	GTEX-1269C-1826-SM-5N9E1	9.966	Normal Tissue	GTEX	Ovary
GTEX-13W3W-1526-SM-5LU5I	GTEX-13W3W-1526-SM-5LU5I	9.963	Normal Tissue	GTEX	Ovary
GTEX-Y114-1726-SM-4TT7U	GTEX-Y114-1726-SM-4TT7U	9.962	Normal Tissue	GTEX	Ovary
GTEX-S32W-1226-SM-4AD67	GTEX-S32W-1226-SM-4AD67	9.929	Normal Tissue	GTEX	Ovary
GTEX-11ZVC-1426-SM-5EGGA	GTEX-11ZVC-1426-SM-5EGGA	9.928	Normal Tissue	GTEX	Ovary
TCGA-24-1549-01	TCGA-24-1549-01	9.915	Primary Tumor	TCGA	Ovary
GTEX-13U4I-2126-SM-5LU55	GTEX-13U4I-2126-SM-5LU55	9.906	Normal Tissue	GTEX	Ovary
GTEX-11VI4-1026-SM-5EQM1	GTEX-11VI4-1026-SM-5EQM1	9.905	Normal Tissue	GTEX	Ovary
GTEX-W5WG-0926-SM-4RTX9	GTEX-W5WG-0926-SM-4RTX9	9.869	Normal Tissue	GTEX	Ovary
GTEX-12WSJ-1226-SM-5LU91	GTEX-12WSJ-1226-SM-5LU91	9.864	Normal Tissue	GTEX	Ovary
GTEX-T2IS-2026-SM-4DM6W	GTEX-T2IS-2026-SM-4DM6W	9.857	Normal Tissue	GTEX	Ovary
TCGA-04-1655-01	TCGA-04-1655-01	9.852	Primary Tumor	TCGA	Ovary
GTEX-RU72-2226-SM-46MUE	GTEX-RU72-2226-SM-46MUE	9.851	Normal Tissue	GTEX	Ovary
GTEX-11GSP-0226-SM-5A5KV	GTEX-11GSP-0226-SM-5A5KV	9.844	Normal Tissue	GTEX	Ovary
TCGA-24-2280-01	TCGA-24-2280-01	9.843	Primary Tumor	TCGA	Ovary
GTEX-PWCY-1326-SM-48TCU	GTEX-PWCY-1326-SM-48TCU	9.841	Normal Tissue	GTEX	Ovary
TCGA-61-1721-01	TCGA-61-1721-01	9.838	Primary Tumor	TCGA	Ovary
GTEX-XYKS-1726-SM-4E3IO	GTEX-XYKS-1726-SM-4E3IO	9.801	Normal Tissue	GTEX	Ovary
TCGA-61-2098-01	TCGA-61-2098-01	9.774	Primary Tumor	TCGA	Ovary
GTEX-WYBS-2426-SM-4ONDI	GTEX-WYBS-2426-SM-4ONDI	9.766	Normal Tissue	GTEX	Ovary
GTEX-13PVR-1226-SM-5RQJ2	GTEX-13PVR-1226-SM-5RQJ2	9.757	Normal Tissue	GTEX	Ovary
GTEX-ZYWO-1926-SM-5E456	GTEX-ZYWO-1926-SM-5E456	9.75	Normal Tissue	GTEX	Ovary
GTEX-145ME-1226-SM-5SIB6	GTEX-145ME-1226-SM-5SIB6	9.745	Normal Tissue	GTEX	Ovary
GTEX-1117F-2226-SM-5N9CH	GTEX-1117F-2226-SM-5N9CH	9.74	Normal Tissue	GTEX	Ovary
TCGA-10-0926-01	TCGA-10-0926-01	9.703	Primary Tumor	TCGA	Ovary
TCGA-OY-A56P-01	TCGA-OY-A56P-01	9.7	Primary Tumor	TCGA	Ovary
TCGA-09-2054-01	TCGA-09-2054-01	9.636	Primary Tumor	TCGA	Ovary
TCGA-25-2393-01	TCGA-25-2393-01	9.583	Primary Tumor	TCGA	Ovary
TCGA-24-1426-01	TCGA-24-1426-01	9.555	Primary Tumor	TCGA	Ovary
TCGA-25-1316-01	TCGA-25-1316-01	9.55	Primary Tumor	TCGA	Ovary
TCGA-25-2392-01	TCGA-25-2392-01	9.546	Primary Tumor	TCGA	Ovary
TCGA-09-2056-01	TCGA-09-2056-01	9.531	Primary Tumor	TCGA	Ovary
TCGA-09-1674-01	TCGA-09-1674-01	9.497	Primary Tumor	TCGA	Ovary
TCGA-25-1626-01	TCGA-25-1626-01	9.49	Primary Tumor	TCGA	Ovary
TCGA-24-2019-01	TCGA-24-2019-01	9.473	Primary Tumor	TCGA	Ovary
TCGA-3P-A9WA-01	TCGA-3P-A9WA-01	9.461	Primary Tumor	TCGA	Ovary
TCGA-61-2003-01	TCGA-61-2003-01	9.457	Primary Tumor	TCGA	Ovary
TCGA-24-1550-01	TCGA-24-1550-01	9.45	Primary Tumor	TCGA	Ovary
GTEX-ZVT3-2626-SM-5GU5L	GTEX-ZVT3-2626-SM-5GU5L	9.441	Normal Tissue	GTEX	Ovary
TCGA-13-0730-01	TCGA-13-0730-01	9.441	Primary Tumor	TCGA	Ovary
