sample	samples	DFNA5	_sample_type	_study	_primary_site
TCGA-25-2404-01	TCGA-25-2404-01	8.055	Primary Tumor	TCGA	Ovary
TCGA-29-1697-01	TCGA-29-1697-01	8.045	Primary Tumor	TCGA	Ovary
TCGA-04-1517-01	TCGA-04-1517-01	8.044	Primary Tumor	TCGA	Ovary
TCGA-36-1569-01	TCGA-36-1569-01	8.033	Primary Tumor	TCGA	Ovary
TCGA-25-2391-01	TCGA-25-2391-01	8.032	Primary Tumor	TCGA	Ovary
TCGA-25-1329-01	TCGA-25-1329-01	8.029	Primary Tumor	TCGA	Ovary
TCGA-36-1577-01	TCGA-36-1577-01	8.023	Primary Tumor	TCGA	Ovary
TCGA-04-1361-01	TCGA-04-1361-01	8.02	Primary Tumor	TCGA	Ovary
TCGA-09-1666-01	TCGA-09-1666-01	8.017	Primary Tumor	TCGA	Ovary
TCGA-29-1768-01	TCGA-29-1768-01	8.013	Primary Tumor	TCGA	Ovary
TCGA-30-1857-01	TCGA-30-1857-01	8.012	Primary Tumor	TCGA	Ovary
TCGA-61-1741-01	TCGA-61-1741-01	8.009	Primary Tumor	TCGA	Ovary
TCGA-20-0991-01	TCGA-20-0991-01	8.002	Primary Tumor	TCGA	Ovary
TCGA-25-1633-01	TCGA-25-1633-01	7.995	Primary Tumor	TCGA	Ovary
TCGA-25-1877-01	TCGA-25-1877-01	7.991	Primary Tumor	TCGA	Ovary
TCGA-61-1724-01	TCGA-61-1724-01	7.989	Primary Tumor	TCGA	Ovary
TCGA-04-1348-01	TCGA-04-1348-01	7.987	Primary Tumor	TCGA	Ovary
TCGA-61-1918-01	TCGA-61-1918-01	7.984	Primary Tumor	TCGA	Ovary
TCGA-24-1435-01	TCGA-24-1435-01	7.963	Primary Tumor	TCGA	Ovary
TCGA-61-2002-01	TCGA-61-2002-01	7.958	Primary Tumor	TCGA	Ovary
TCGA-36-1578-01	TCGA-36-1578-01	7.955	Primary Tumor	TCGA	Ovary
TCGA-13-0905-01	TCGA-13-0905-01	7.915	Primary Tumor	TCGA	Ovary
TCGA-24-1464-01	TCGA-24-1464-01	7.905	Primary Tumor	TCGA	Ovary
TCGA-13-0727-01	TCGA-13-0727-01	7.904	Primary Tumor	TCGA	Ovary
TCGA-13-1483-01	TCGA-13-1483-01	7.904	Primary Tumor	TCGA	Ovary
TCGA-13-1411-01	TCGA-13-1411-01	7.885	Primary Tumor	TCGA	Ovary
TCGA-30-1855-01	TCGA-30-1855-01	7.885	Primary Tumor	TCGA	Ovary
TCGA-13-1495-01	TCGA-13-1495-01	7.872	Primary Tumor	TCGA	Ovary
TCGA-59-2351-01	TCGA-59-2351-01	7.857	Primary Tumor	TCGA	Ovary
TCGA-61-2111-01	TCGA-61-2111-01	7.852	Primary Tumor	TCGA	Ovary
TCGA-25-1318-01	TCGA-25-1318-01	7.847	Primary Tumor	TCGA	Ovary
TCGA-04-1343-01	TCGA-04-1343-01	7.839	Primary Tumor	TCGA	Ovary
TCGA-13-0906-01	TCGA-13-0906-01	7.813	Primary Tumor	TCGA	Ovary
TCGA-24-1850-01	TCGA-24-1850-01	7.806	Primary Tumor	TCGA	Ovary
TCGA-23-2081-01	TCGA-23-2081-01	7.805	Primary Tumor	TCGA	Ovary
TCGA-36-1568-01	TCGA-36-1568-01	7.799	Primary Tumor	TCGA	Ovary
TCGA-24-0966-01	TCGA-24-0966-01	7.798	Primary Tumor	TCGA	Ovary
TCGA-29-1690-01	TCGA-29-1690-01	7.794	Primary Tumor	TCGA	Ovary
TCGA-13-1498-01	TCGA-13-1498-01	7.781	Primary Tumor	TCGA	Ovary
TCGA-13-0890-01	TCGA-13-0890-01	7.779	Primary Tumor	TCGA	Ovary
TCGA-24-2261-01	TCGA-24-2261-01	7.779	Primary Tumor	TCGA	Ovary
TCGA-24-1844-01	TCGA-24-1844-01	7.776	Primary Tumor	TCGA	Ovary
TCGA-23-1030-01	TCGA-23-1030-01	7.775	Primary Tumor	TCGA	Ovary
TCGA-24-1471-01	TCGA-24-1471-01	7.771	Primary Tumor	TCGA	Ovary
TCGA-04-1364-01	TCGA-04-1364-01	7.767	Primary Tumor	TCGA	Ovary
TCGA-25-1319-01	TCGA-25-1319-01	7.764	Primary Tumor	TCGA	Ovary
TCGA-OY-A56Q-01	TCGA-OY-A56Q-01	7.764	Primary Tumor	TCGA	Ovary
TCGA-09-1667-01	TCGA-09-1667-01	7.76	Primary Tumor	TCGA	Ovary
TCGA-13-1510-01	TCGA-13-1510-01	7.757	Primary Tumor	TCGA	Ovary
TCGA-61-1738-01	TCGA-61-1738-01	7.743	Primary Tumor	TCGA	Ovary
TCGA-24-1545-01	TCGA-24-1545-01	7.742	Primary Tumor	TCGA	Ovary
TCGA-13-0888-01	TCGA-13-0888-01	7.735	Primary Tumor	TCGA	Ovary
TCGA-23-1120-01	TCGA-23-1120-01	7.734	Primary Tumor	TCGA	Ovary
TCGA-13-1506-01	TCGA-13-1506-01	7.729	Primary Tumor	TCGA	Ovary
TCGA-29-1688-01	TCGA-29-1688-01	7.727	Primary Tumor	TCGA	Ovary
TCGA-04-1357-01	TCGA-04-1357-01	7.725	Primary Tumor	TCGA	Ovary
TCGA-29-1783-01	TCGA-29-1783-01	7.72	Primary Tumor	TCGA	Ovary
TCGA-13-0923-01	TCGA-13-0923-01	7.707	Primary Tumor	TCGA	Ovary
TCGA-30-1860-01	TCGA-30-1860-01	7.706	Primary Tumor	TCGA	Ovary
TCGA-13-0795-01	TCGA-13-0795-01	7.703	Primary Tumor	TCGA	Ovary
TCGA-23-1122-01	TCGA-23-1122-01	7.698	Primary Tumor	TCGA	Ovary
TCGA-61-2104-01	TCGA-61-2104-01	7.693	Primary Tumor	TCGA	Ovary
TCGA-29-1770-01	TCGA-29-1770-01	7.69	Primary Tumor	TCGA	Ovary
TCGA-25-1634-01	TCGA-25-1634-01	7.688	Primary Tumor	TCGA	Ovary
TCGA-30-1892-01	TCGA-30-1892-01	7.676	Primary Tumor	TCGA	Ovary
TCGA-24-2033-01	TCGA-24-2033-01	7.672	Primary Tumor	TCGA	Ovary
TCGA-13-1410-01	TCGA-13-1410-01	7.664	Primary Tumor	TCGA	Ovary
TCGA-61-1911-01	TCGA-61-1911-01	7.658	Primary Tumor	TCGA	Ovary
TCGA-29-A5NZ-01	TCGA-29-A5NZ-01	7.657	Primary Tumor	TCGA	Ovary
TCGA-24-1928-01	TCGA-24-1928-01	7.655	Primary Tumor	TCGA	Ovary
TCGA-20-0987-01	TCGA-20-0987-01	7.645	Primary Tumor	TCGA	Ovary
TCGA-25-2400-01	TCGA-25-2400-01	7.64	Primary Tumor	TCGA	Ovary
TCGA-25-1323-01	TCGA-25-1323-01	7.639	Primary Tumor	TCGA	Ovary
TCGA-30-1861-01	TCGA-30-1861-01	7.634	Primary Tumor	TCGA	Ovary
TCGA-25-2399-01	TCGA-25-2399-01	7.631	Primary Tumor	TCGA	Ovary
TCGA-13-1499-01	TCGA-13-1499-01	7.627	Primary Tumor	TCGA	Ovary
TCGA-24-1423-01	TCGA-24-1423-01	7.627	Primary Tumor	TCGA	Ovary
TCGA-61-1725-01	TCGA-61-1725-01	7.618	Primary Tumor	TCGA	Ovary
TCGA-04-1338-01	TCGA-04-1338-01	7.611	Primary Tumor	TCGA	Ovary
TCGA-29-1777-01	TCGA-29-1777-01	7.605	Primary Tumor	TCGA	Ovary
TCGA-24-0979-01	TCGA-24-0979-01	7.598	Primary Tumor	TCGA	Ovary
TCGA-29-1784-01	TCGA-29-1784-01	7.594	Primary Tumor	TCGA	Ovary
TCGA-13-0919-01	TCGA-13-0919-01	7.587	Primary Tumor	TCGA	Ovary
TCGA-24-1544-01	TCGA-24-1544-01	7.584	Primary Tumor	TCGA	Ovary
TCGA-25-1312-01	TCGA-25-1312-01	7.583	Primary Tumor	TCGA	Ovary
TCGA-24-1565-01	TCGA-24-1565-01	7.579	Primary Tumor	TCGA	Ovary
TCGA-23-1118-01	TCGA-23-1118-01	7.571	Primary Tumor	TCGA	Ovary
TCGA-29-1762-01	TCGA-29-1762-01	7.57	Primary Tumor	TCGA	Ovary
TCGA-61-1740-01	TCGA-61-1740-01	7.57	Primary Tumor	TCGA	Ovary
TCGA-59-2352-01	TCGA-59-2352-01	7.566	Primary Tumor	TCGA	Ovary
TCGA-24-1469-01	TCGA-24-1469-01	7.561	Primary Tumor	TCGA	Ovary
TCGA-24-1436-01	TCGA-24-1436-01	7.553	Primary Tumor	TCGA	Ovary
TCGA-57-1584-01	TCGA-57-1584-01	7.548	Primary Tumor	TCGA	Ovary
TCGA-13-1481-01	TCGA-13-1481-01	7.54	Primary Tumor	TCGA	Ovary
TCGA-59-2363-01	TCGA-59-2363-01	7.533	Primary Tumor	TCGA	Ovary
TCGA-13-1511-01	TCGA-13-1511-01	7.513	Primary Tumor	TCGA	Ovary
TCGA-61-2009-01	TCGA-61-2009-01	7.512	Primary Tumor	TCGA	Ovary
TCGA-24-2298-01	TCGA-24-2298-01	7.505	Primary Tumor	TCGA	Ovary
TCGA-29-1761-01	TCGA-29-1761-01	7.488	Primary Tumor	TCGA	Ovary
TCGA-24-1562-01	TCGA-24-1562-01	7.483	Primary Tumor	TCGA	Ovary
TCGA-29-1693-01	TCGA-29-1693-01	7.476	Primary Tumor	TCGA	Ovary
TCGA-13-A5FT-01	TCGA-13-A5FT-01	7.47	Primary Tumor	TCGA	Ovary
TCGA-29-1703-01	TCGA-29-1703-01	7.454	Primary Tumor	TCGA	Ovary
TCGA-04-1365-01	TCGA-04-1365-01	7.449	Primary Tumor	TCGA	Ovary
TCGA-24-2290-01	TCGA-24-2290-01	7.448	Primary Tumor	TCGA	Ovary
TCGA-24-2023-01	TCGA-24-2023-01	7.443	Primary Tumor	TCGA	Ovary
TCGA-36-1581-01	TCGA-36-1581-01	7.438	Primary Tumor	TCGA	Ovary
TCGA-25-1317-01	TCGA-25-1317-01	7.431	Primary Tumor	TCGA	Ovary
TCGA-24-0982-01	TCGA-24-0982-01	7.427	Primary Tumor	TCGA	Ovary
TCGA-57-1586-01	TCGA-57-1586-01	7.426	Primary Tumor	TCGA	Ovary
TCGA-30-1862-01	TCGA-30-1862-01	7.424	Primary Tumor	TCGA	Ovary
TCGA-29-2414-01	TCGA-29-2414-01	7.421	Primary Tumor	TCGA	Ovary
TCGA-24-2038-01	TCGA-24-2038-01	7.412	Primary Tumor	TCGA	Ovary
TCGA-09-2044-01	TCGA-09-2044-01	7.404	Primary Tumor	TCGA	Ovary
TCGA-25-1632-01	TCGA-25-1632-01	7.396	Primary Tumor	TCGA	Ovary
TCGA-59-2355-01	TCGA-59-2355-01	7.395	Primary Tumor	TCGA	Ovary
TCGA-30-1718-01	TCGA-30-1718-01	7.385	Primary Tumor	TCGA	Ovary
TCGA-24-2271-01	TCGA-24-2271-01	7.384	Primary Tumor	TCGA	Ovary
TCGA-09-1669-01	TCGA-09-1669-01	7.372	Primary Tumor	TCGA	Ovary
TCGA-25-2396-01	TCGA-25-2396-01	7.366	Primary Tumor	TCGA	Ovary
TCGA-13-0800-01	TCGA-13-0800-01	7.363	Primary Tumor	TCGA	Ovary
TCGA-30-1866-01	TCGA-30-1866-01	7.354	Primary Tumor	TCGA	Ovary
TCGA-24-1552-01	TCGA-24-1552-01	7.353	Primary Tumor	TCGA	Ovary
TCGA-13-1404-01	TCGA-13-1404-01	7.35	Primary Tumor	TCGA	Ovary
TCGA-13-0804-01	TCGA-13-0804-01	7.333	Primary Tumor	TCGA	Ovary
TCGA-24-1467-01	TCGA-24-1467-01	7.328	Primary Tumor	TCGA	Ovary
TCGA-25-1627-01	TCGA-25-1627-01	7.322	Primary Tumor	TCGA	Ovary
TCGA-24-1556-01	TCGA-24-1556-01	7.32	Primary Tumor	TCGA	Ovary
TCGA-23-1107-01	TCGA-23-1107-01	7.313	Primary Tumor	TCGA	Ovary
TCGA-23-2084-01	TCGA-23-2084-01	7.305	Primary Tumor	TCGA	Ovary
TCGA-29-1710-01	TCGA-29-1710-01	7.302	Primary Tumor	TCGA	Ovary
TCGA-29-2427-01	TCGA-29-2427-01	7.299	Primary Tumor	TCGA	Ovary
TCGA-29-1778-01	TCGA-29-1778-01	7.293	Primary Tumor	TCGA	Ovary
TCGA-24-2297-01	TCGA-24-2297-01	7.292	Primary Tumor	TCGA	Ovary
TCGA-24-1845-01	TCGA-24-1845-01	7.279	Primary Tumor	TCGA	Ovary
TCGA-24-1555-01	TCGA-24-1555-01	7.257	Primary Tumor	TCGA	Ovary
TCGA-24-1417-01	TCGA-24-1417-01	7.255	Primary Tumor	TCGA	Ovary
TCGA-61-2000-01	TCGA-61-2000-01	7.25	Primary Tumor	TCGA	Ovary
TCGA-24-2035-01	TCGA-24-2035-01	7.236	Primary Tumor	TCGA	Ovary
TCGA-24-2262-01	TCGA-24-2262-01	7.233	Primary Tumor	TCGA	Ovary
TCGA-24-1413-01	TCGA-24-1413-01	7.232	Primary Tumor	TCGA	Ovary
TCGA-13-0900-01	TCGA-13-0900-01	7.228	Primary Tumor	TCGA	Ovary
TCGA-29-2428-01	TCGA-29-2428-01	7.225	Primary Tumor	TCGA	Ovary
TCGA-29-1766-01	TCGA-29-1766-01	7.222	Primary Tumor	TCGA	Ovary
TCGA-13-2060-01	TCGA-13-2060-01	7.221	Primary Tumor	TCGA	Ovary
TCGA-20-1682-01	TCGA-20-1682-01	7.203	Primary Tumor	TCGA	Ovary
TCGA-23-1029-01	TCGA-23-1029-01	7.198	Primary Tumor	TCGA	Ovary
TCGA-04-1350-01	TCGA-04-1350-01	7.179	Primary Tumor	TCGA	Ovary
TCGA-61-1914-01	TCGA-61-1914-01	7.166	Primary Tumor	TCGA	Ovary
TCGA-61-1907-01	TCGA-61-1907-01	7.162	Primary Tumor	TCGA	Ovary
TCGA-13-0766-01	TCGA-13-0766-01	7.16	Primary Tumor	TCGA	Ovary
TCGA-23-1119-01	TCGA-23-1119-01	7.156	Primary Tumor	TCGA	Ovary
TCGA-13-1403-01	TCGA-13-1403-01	7.153	Primary Tumor	TCGA	Ovary
TCGA-36-1574-01	TCGA-36-1574-01	7.142	Primary Tumor	TCGA	Ovary
TCGA-24-1105-01	TCGA-24-1105-01	7.126	Primary Tumor	TCGA	Ovary
TCGA-25-1871-01	TCGA-25-1871-01	7.116	Primary Tumor	TCGA	Ovary
TCGA-24-1431-01	TCGA-24-1431-01	7.114	Primary Tumor	TCGA	Ovary
TCGA-61-1910-01	TCGA-61-1910-01	7.113	Primary Tumor	TCGA	Ovary
TCGA-23-1123-01	TCGA-23-1123-01	7.107	Primary Tumor	TCGA	Ovary
TCGA-29-1769-01	TCGA-29-1769-01	7.1	Primary Tumor	TCGA	Ovary
TCGA-04-1356-01	TCGA-04-1356-01	7.097	Primary Tumor	TCGA	Ovary
TCGA-61-2109-01	TCGA-61-2109-01	7.09	Primary Tumor	TCGA	Ovary
TCGA-13-0893-01	TCGA-13-0893-01	7.086	Primary Tumor	TCGA	Ovary
TCGA-24-1558-01	TCGA-24-1558-01	7.086	Primary Tumor	TCGA	Ovary
TCGA-30-1853-01	TCGA-30-1853-01	7.085	Primary Tumor	TCGA	Ovary
TCGA-13-1512-01	TCGA-13-1512-01	7.082	Primary Tumor	TCGA	Ovary
TCGA-09-1661-01	TCGA-09-1661-01	7.063	Primary Tumor	TCGA	Ovary
TCGA-23-2078-01	TCGA-23-2078-01	7.058	Primary Tumor	TCGA	Ovary
TCGA-20-1686-01	TCGA-20-1686-01	7.057	Primary Tumor	TCGA	Ovary
TCGA-13-1505-01	TCGA-13-1505-01	7.032	Primary Tumor	TCGA	Ovary
TCGA-23-1027-01	TCGA-23-1027-01	7.032	Primary Tumor	TCGA	Ovary
TCGA-13-0762-01	TCGA-13-0762-01	7.019	Primary Tumor	TCGA	Ovary
TCGA-04-1341-01	TCGA-04-1341-01	7.012	Primary Tumor	TCGA	Ovary
TCGA-29-1785-01	TCGA-29-1785-01	7.009	Primary Tumor	TCGA	Ovary
TCGA-61-1728-01	TCGA-61-1728-01	6.996	Primary Tumor	TCGA	Ovary
TCGA-10-0931-01	TCGA-10-0931-01	6.985	Primary Tumor	TCGA	Ovary
TCGA-13-1409-01	TCGA-13-1409-01	6.979	Primary Tumor	TCGA	Ovary
TCGA-23-1028-01	TCGA-23-1028-01	6.967	Primary Tumor	TCGA	Ovary
TCGA-10-0938-01	TCGA-10-0938-01	6.958	Primary Tumor	TCGA	Ovary
TCGA-20-1687-01	TCGA-20-1687-01	6.956	Primary Tumor	TCGA	Ovary
TCGA-29-1702-01	TCGA-29-1702-01	6.944	Primary Tumor	TCGA	Ovary
TCGA-10-0928-01	TCGA-10-0928-01	6.94	Primary Tumor	TCGA	Ovary
TCGA-25-1314-01	TCGA-25-1314-01	6.938	Primary Tumor	TCGA	Ovary
TCGA-04-1347-01	TCGA-04-1347-01	6.934	Primary Tumor	TCGA	Ovary
TCGA-24-1548-01	TCGA-24-1548-01	6.928	Primary Tumor	TCGA	Ovary
TCGA-13-0724-01	TCGA-13-0724-01	6.921	Primary Tumor	TCGA	Ovary
TCGA-13-0885-01	TCGA-13-0885-01	6.918	Primary Tumor	TCGA	Ovary
TCGA-24-1104-01	TCGA-24-1104-01	6.917	Primary Tumor	TCGA	Ovary
TCGA-13-0884-01	TCGA-13-0884-01	6.91	Primary Tumor	TCGA	Ovary
TCGA-29-1701-01	TCGA-29-1701-01	6.898	Primary Tumor	TCGA	Ovary
TCGA-13-1487-01	TCGA-13-1487-01	6.887	Primary Tumor	TCGA	Ovary
TCGA-13-0891-01	TCGA-13-0891-01	6.872	Primary Tumor	TCGA	Ovary
TCGA-09-0367-01	TCGA-09-0367-01	6.867	Primary Tumor	TCGA	Ovary
TCGA-13-1501-01	TCGA-13-1501-01	6.845	Primary Tumor	TCGA	Ovary
TCGA-29-1696-01	TCGA-29-1696-01	6.832	Primary Tumor	TCGA	Ovary
TCGA-23-1110-01	TCGA-23-1110-01	6.826	Primary Tumor	TCGA	Ovary
TCGA-29-1776-01	TCGA-29-1776-01	6.815	Primary Tumor	TCGA	Ovary
TCGA-13-1496-01	TCGA-13-1496-01	6.808	Primary Tumor	TCGA	Ovary
TCGA-24-1430-01	TCGA-24-1430-01	6.806	Primary Tumor	TCGA	Ovary
TCGA-13-0714-01	TCGA-13-0714-01	6.793	Primary Tumor	TCGA	Ovary
TCGA-24-1604-01	TCGA-24-1604-01	6.781	Primary Tumor	TCGA	Ovary
TCGA-13-1477-01	TCGA-13-1477-01	6.764	Primary Tumor	TCGA	Ovary
TCGA-09-0364-01	TCGA-09-0364-01	6.754	Primary Tumor	TCGA	Ovary
TCGA-24-1616-01	TCGA-24-1616-01	6.673	Primary Tumor	TCGA	Ovary
TCGA-09-2045-01	TCGA-09-2045-01	6.664	Primary Tumor	TCGA	Ovary
TCGA-23-1021-01	TCGA-23-1021-01	6.655	Primary Tumor	TCGA	Ovary
TCGA-20-1684-01	TCGA-20-1684-01	6.635	Primary Tumor	TCGA	Ovary
TCGA-13-1497-01	TCGA-13-1497-01	6.63	Primary Tumor	TCGA	Ovary
TCGA-61-2088-01	TCGA-61-2088-01	6.62	Primary Tumor	TCGA	Ovary
TCGA-61-1743-01	TCGA-61-1743-01	6.615	Primary Tumor	TCGA	Ovary
TCGA-13-0887-01	TCGA-13-0887-01	6.612	Primary Tumor	TCGA	Ovary
TCGA-13-0920-01	TCGA-13-0920-01	6.606	Primary Tumor	TCGA	Ovary
TCGA-24-1416-01	TCGA-24-1416-01	6.583	Primary Tumor	TCGA	Ovary
TCGA-36-1570-01	TCGA-36-1570-01	6.543	Primary Tumor	TCGA	Ovary
TCGA-25-1321-01	TCGA-25-1321-01	6.54	Primary Tumor	TCGA	Ovary
TCGA-23-1113-01	TCGA-23-1113-01	6.526	Primary Tumor	TCGA	Ovary
TCGA-13-0897-01	TCGA-13-0897-01	6.47	Primary Tumor	TCGA	Ovary
TCGA-13-0726-01	TCGA-13-0726-01	6.45	Primary Tumor	TCGA	Ovary
TCGA-10-0933-01	TCGA-10-0933-01	6.417	Primary Tumor	TCGA	Ovary
TCGA-61-2101-01	TCGA-61-2101-01	6.413	Primary Tumor	TCGA	Ovary
TCGA-57-1582-01	TCGA-57-1582-01	6.405	Primary Tumor	TCGA	Ovary
TCGA-WR-A838-01	TCGA-WR-A838-01	6.397	Primary Tumor	TCGA	Ovary
TCGA-09-1665-01	TCGA-09-1665-01	6.322	Primary Tumor	TCGA	Ovary
TCGA-13-1407-01	TCGA-13-1407-01	6.209	Primary Tumor	TCGA	Ovary
TCGA-10-0936-01	TCGA-10-0936-01	6.18	Primary Tumor	TCGA	Ovary
TCGA-13-0797-01	TCGA-13-0797-01	6.169	Primary Tumor	TCGA	Ovary
TCGA-57-1583-01	TCGA-57-1583-01	6.16	Primary Tumor	TCGA	Ovary
TCGA-04-1651-01	TCGA-04-1651-01	6.122	Primary Tumor	TCGA	Ovary
TCGA-13-0924-01	TCGA-13-0924-01	6.114	Primary Tumor	TCGA	Ovary
TCGA-13-1488-01	TCGA-13-1488-01	6.091	Primary Tumor	TCGA	Ovary
TCGA-VG-A8LO-01	TCGA-VG-A8LO-01	6.066	Primary Tumor	TCGA	Ovary
TCGA-23-1024-01	TCGA-23-1024-01	6.027	Primary Tumor	TCGA	Ovary
TCGA-04-1542-01	TCGA-04-1542-01	6.011	Primary Tumor	TCGA	Ovary
TCGA-36-1571-01	TCGA-36-1571-01	5.991	Primary Tumor	TCGA	Ovary
TCGA-23-1022-01	TCGA-23-1022-01	5.978	Primary Tumor	TCGA	Ovary
TCGA-24-1103-01	TCGA-24-1103-01	5.939	Primary Tumor	TCGA	Ovary
TCGA-24-1419-01	TCGA-24-1419-01	5.925	Primary Tumor	TCGA	Ovary
TCGA-10-0934-01	TCGA-10-0934-01	5.91	Primary Tumor	TCGA	Ovary
TCGA-29-2425-01	TCGA-29-2425-01	5.901	Primary Tumor	TCGA	Ovary
TCGA-61-2092-01	TCGA-61-2092-01	5.755	Primary Tumor	TCGA	Ovary
TCGA-13-1492-01	TCGA-13-1492-01	5.557	Primary Tumor	TCGA	Ovary
TCGA-10-0937-01	TCGA-10-0937-01	5.145	Primary Tumor	TCGA	Ovary
TCGA-25-1870-01	TCGA-25-1870-01	0	Primary Tumor	TCGA	Ovary
